Manufacturer,Model,T_outside [°C],T_out [°C],EER,Group,Pdc [W],P_el [W],Pdc_n,P_el_c_n
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,25,18,8.04,1.0,2189.8799999999997,272.3731343283582,0.4379759999999999,0.1726845671641791
Panasonic Marketing Europe GmbH,WH-MDC05J3E5,20,18,8.188999999999998,1.0,628.4249999999998,76.74013921113689,0.12568499999999996,0.04865324825986079
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,35,7,3.15,1.0,6000.0,1904.7619047619048,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,30,7,4.43,1.0,4420.0,997.7426636568848,0.7366666666666667,0.5238148984198645
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,25,7,6.36,1.0,2840.0,446.5408805031447,0.47333333333333333,0.23443396226415097
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,20,7,8.11,1.0,1260.0,155.36374845869298,0.21,0.08156596794081382
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,35,18,3.8114999999999997,1.0,6170.999999999999,1619.047619047619,1.0284999999999997,0.85
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,30,18,5.3603,1.0,4385.523999999999,818.1489841986455,0.7309206666666666,0.42952821670428887
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,25,18,7.632,1.0,2624.16,343.8364779874214,0.43735999999999997,0.18051415094339623
Panasonic Marketing Europe GmbH,WH-MDC07J3E5,20,18,7.7044999999999995,1.0,754.11,97.87916152897658,0.125685,0.05138655980271271
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,35,7,3.06,1.0,7000.0,2287.581699346405,1.0,1.0
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,30,7,4.15,1.0,5160.0,1243.3734939759036,0.7371428571428571,0.5435318416523236
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,25,7,6.11,1.0,3320.0,543.3715220949264,0.4742857142857143,0.23753097965863926
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,20,7,7.64,1.0,1470.0,192.4083769633508,0.21,0.08410994764397907
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,35,18,3.7026,1.0,7199.499999999998,1944.4444444444441,1.0284999999999997,0.85
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,30,18,5.0215000000000005,1.0,5119.752,1019.5662650602409,0.731393142857143,0.44569611015490535
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,25,18,7.332,1.0,3067.6800000000003,418.3960720130933,0.43824,0.18289885433715225
Panasonic Marketing Europe GmbH,WH-MDC09J3E5,20,18,7.257999999999999,1.0,879.795,121.217277486911,0.125685,0.05298926701570682
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,35,7,3.95,1.0,3000.0,759.493670886076,1.0,1.0
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,30,7,5.37,1.0,2210.0,411.5456238361266,0.7366666666666667,0.5418684047175667
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,25,7,7.44,1.0,1420.0,190.86021505376343,0.47333333333333333,0.25129928315412187
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,20,7,8.93,1.0,630.0,70.54871220604703,0.21,0.09288913773796192
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,35,18,4.7795,1.0,3085.4999999999995,645.5696202531645,1.0284999999999997,0.85
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,30,18,6.4977,1.0,2192.7619999999997,337.4674115456238,0.7309206666666666,0.44433209186840467
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,25,18,8.928,1.0,1312.0800000000002,146.96236559139786,0.43736,0.19350044802867383
Panasonic Marketing Europe GmbH,WH-ADC0309J3E5 / WH-UD03JE5,20,18,8.4835,1.0,377.05499999999995,44.44568868980963,0.125685,0.05852015677491601
